id,drink_id,language,description,recipe,color,location,company
1,1,0,「ジン・オレンジ」とも呼ばれ、文字通りのオレンジジュースのフルーティーなおいしさと、ジンのさわやかな香りがぴったりマッチしたカクテル。二つの材料をグラスに注ぐだけで出来上がるので、家庭でも簡単につくることのできる、シンプルでおいしいカクテル。,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。オレンジを飾る。,オレンジ,,
2,1,1,gin,Pour into the tumbler with ice and gently stir. Decorate oranges.,Orange,,
3,1,2,杜松子酒,用冰倒入滚筒，轻轻搅拌。装饰橘子。,橙,,
4,2,0,レイモンド・チャンドラーの小説『長いお別れ』に登場し、「ギムレットには早すぎる」という名セリフで一躍有名になったカクテル。このカクテルが生まれたのは19世紀後半。当時のイギリス海軍では、将校にはジン、船員にはラムの水割りを毎日配給していた。海軍の軍医、ギムレット卿は、健康のためにジンをライムジュースで薄めて飲むように提唱。これがギムレットの始まりとなった。従って、ギムレットの発祥地はインド洋上の軍艦の上、と考えるのが妥当である。生のライムジュースを使うか、既製品のライムジュースを使うか、意見は分かれる。フレッシュライムジュースを使用する場合は甘みにシロップを加える場合もある。,シェークして、カクテル・グラスに注ぐ。,透明,,
5,2,1,gin,Shake and pour into a cocktail glass.,Transparent,,
6,2,2,杜松子酒,摇匀，倒入鸡尾酒杯。,透明,,
7,3,0,イギリスの小説家サマセット・モームが“東洋の神秘”とたたえた、世界一美しいと言われるシンガポールの夕焼けを表現したカクテル。1915年、シンガポールのラッフルズホテルで考案された。トロピカルカクテルの傑作といわれている。,ソーダ以外の材料をシェークし、氷を入れたタンブラーに注ぐ。ソーダで満たし、軽くステアする。リンゴ、レモン、レッド・チェリーを飾る。,赤,,
8,3,1,gin,"Shake materials other than soda and pour into umbrella tumbler. Fill it with soda and lightly steer. I decorate apple, lemon, red cherry.",Red,,
9,3,2,杜松子酒,摇动苏打水以外的材料，倒入伞状滚筒中。用苏打水填充并轻轻转向。我装饰苹果，柠檬，红樱桃。,红,,
10,4,0,ジンをベースにしたカクテルの中で、最もポピュラーなのがこのジントニック。熱帯にあるイギリスの植民地で、健康飲料として飲まれていたトニックウォーターに、ジンを入れてみたら驚くほど飲み口がよかったというのが始まり。今では世界的に人気のあるジントニック。シンプルなレシピだけに、味わいはバーによって、またバーテンダーによって微妙に異なる。ジンやトニックの銘柄は？デコレーションにはライムかレモンか？こだわればこだわるほど奥の深いカクテルである。,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライムまたはレモンを飾る。,透明,,
11,4,1,gin,Pour into the tumbler with ice and gently stir. Decorate lime or lemon.,Transparent,,
12,4,2,杜松子酒,用冰倒入滚筒，轻轻搅拌。装饰石灰或柠檬。,透明,,
13,5,0,プレミアムジン「ビーフィーター２４」に使用されているボタニカルのうち、レモン・ライム・オレンジのスライスを用いたオリジナル ジン・トニック。見た目も爽やかなプレミアムなカクテル。,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライム、レモン、及びオレンジを飾る。,透明,,
14,5,1,Beefeater 24,"Pour into the tumbler with ice and gently stir. Lime, lemon, and ornamen.",Transparent,,
15,5,2,Beefeater 24,用冰倒入滚筒，轻轻搅拌。酸橙，柠檬和ornamen。,透明,,
16,6,0,1919年に、当時ヨーロッパで一番ファッショナブルなナイトスポットと呼ばれていたロンドンの”シローズ・クラブ”で、名バーテンダー、ハリー・マッケンホルン氏が考案したカクテル。もともとはドライジンではなく、ペパーミントリキュールがベースであった。ハリーがパリに移ったあと、ベースをドライジンにかえ、このカクテルが広く愛飲されるようになった。アルコール、甘み、酸味のバランスがとれた、すばらしいカクテルである。ドライジンをブランデーにかえると「サイドカー」、ウオッカにかえると「バラライカ」、ラムにかえると「Ｘ.Ｙ.Ｚ」になる。,シェークして、カクテル・グラスに注ぐ。,白,,
17,6,1,gin,Shake and pour into a cocktail glass.,White,,
18,6,2,杜松子酒,摇匀，倒入鸡尾酒杯。,白,,
19,7,0,"マティーニほど数々の逸話に彩られたカクテルはほかにない。「カクテルの中の傑作」「カクテルの帝王」と称されるカクテル。映画『７年目の浮気』ではマリリン・モンローが、『００７』ではジェームス・ボンドが好んで飲んだカクテルである。
レシピは時代と共に甘口から辛口へと変化し、スイートベルモットを使っていたのが、今ではドライベルモットを使うのが普通になっている。超辛口好みの、かのチャーチルは、ドライベルモットの瓶を眺めながらジンのストレートを飲んでいたそうである。
デコレーションのオリーブは、一般的に辛口カクテルのデコレーションとして使われる。甘口のカクテルにはチェリーを使う。オリーブの半径分の長さに切り込みを入れ、グラスのふちに刺すと出来上がり。その他にもカクテルピンにオリーブを指してグラスにさしわたしてもよい。",ステアして、カクテル・グラスに注ぐ。オリーブを飾る。,透明,,
20,7,1,gin,Steer and pour into a cocktail glass. Decorate olives.,Transparent,,
21,7,2,杜松子酒,转向并倒入鸡尾酒杯。装饰橄榄。,透明,,
22,8,0,マスカットのフルーティでみずみずしい味わいが楽しめる、ソフトな飲み口のショートカクテルです。,ステアして、カクテル・グラスに注ぐ。,透明,,
23,8,1,Muscat liqueur de France Mistya,Steer and pour into a cocktail glass.,Transparent,,
24,8,2,马斯喀特利口酒法国Mistya,转向并倒入鸡尾酒杯。,透明,,
25,9,0,「アラウンド・ザ・ワールド」とは、世界一周という意味。アメリカのバーテンダーの作といわれている。パイナップルの味がひときわきいたカクテル。ミントとパイナップルジュースのドライジンに対する比率をどうするかで、いくつかのレシピがある。,シェークして、カクテル・グラスに注ぐ。グリーン・チェリーを飾る。,緑,,
26,9,1,gin,Shake and pour into a cocktail glass. Decorate green cherries.,Green,,
27,9,2,杜松子酒,摇匀，倒入鸡尾酒杯。装饰绿色樱桃。,绿茵,,
28,10,0,1984年のサントリー・カクテル・コンペティションでグランプリに輝いたカクテル。仙台の大庄司雅彦氏の作品である。黄金色のグラデーションがカクテルの名にふさわしく、グラスの中に北国の秋が見事に表現されている。,ステアして、カクテル・グラスに注ぐ。,ブラウン(琥珀色）,,
29,10,1,gin,Steer and pour into a cocktail glass.,Brown (amber),,
30,10,2,杜松子酒,转向并倒入鸡尾酒杯。,棕色（琥珀色）,,
