id,drink_id,language,name,primary
1,1,0,オレンジブロッサム,true
2,1,1,Orange Blossom,true
3,1,2,橙花,true
4,2,0,ギムレット,true
5,2,1,Gimlet,true
6,2,2,螺丝锥,true
7,3,0,シンガポールスリング,true
8,3,1,Singapore Sling,true
9,3,2,新加坡司令,true
10,4,0,ジントニック,true
11,4,1,Gin tonic,true
12,4,2,杜松子酒补品,true
13,5,0,トリプルシトラスジントニック,true
14,5,1,Triple Citrus Gin Tonic,true
15,5,2,三重柑橘杜松子酒滋补品,true
16,6,0,ホワイトレディ,true
17,6,1,White lady,true
18,6,2,白女士,true
19,7,0,マティーニ,true
20,7,1,Martini,true
21,7,2,马蒂尼鸡尾酒,true
22,8,0,ミスティアマティーニ,true
23,8,1,Mistya Martini,true
24,8,2,Mistya Martini,true
25,9,0,アラウンドザワールド,true
26,9,1,Around The World,true
27,9,2,环游世界,true
28,10,0,オータムリーブス,true
29,10,1,Autumn Leaves,true
30,10,2,秋叶,true
31,11,0,キッスインザダーク,true
32,11,1,Kiss In the Dark,true
33,11,2,亲吻在黑暗中,true
34,12,0,ギブソン,true
35,12,1,Gibson,true
36,12,2,吉布森,true
37,13,0,シルバーストリーク,true
38,13,1,Silver streak,true
39,13,2,银色连胜,true
40,14,0,ジャングル,true
41,14,1,jungle,true
42,14,2,丛林,true
43,15,0,ジンバック,true
44,15,1,Jim Buck,true
45,15,2,吉姆巴克,true
46,16,0,ジンフィズ,true
47,16,1,Ginfiz,true
48,16,2,Jinfizu,true
49,17,0,ジンリッキー,true
50,17,1,Gin Ricky,true
51,17,2,Jin Ricky,true
52,18,0,スプリングオペラ,true
53,18,1,Spring Opera,true
54,18,2,春季歌剧,true
55,19,0,タンゴ,true
56,19,1,Tango,true
57,19,2,探戈舞,true
58,20,0,チョコレートギムレット,true
59,20,1,Chocolate Gimlet,true
60,20,2,巧克力手钻,true
61,21,0,チョコレートスリング,true
62,21,1,Chocolate sling,true
63,21,2,巧克力吊带,true
64,22,0,２４トニック,true
65,22,1,24 tonic,true
66,22,2,24补品,true
67,23,0,２４マティーニ,true
68,23,1,24 Martini,true
69,23,2,24马提尼,true
70,24,0,トムコリンズ,true
71,24,1,Tom Collins,true
72,24,2,汤姆柯林斯,true
73,25,0,パラダイス,true
74,25,1,Paradise,true
75,25,2,天堂,true
76,26,0,パリジャン,true
77,26,1,Parisian,true
78,26,2,巴黎的,true
79,27,0,ピンクレディ,true
80,27,1,Pink Lady,true
81,27,2,粉红女郎,true
82,28,0,フレンチ７５,true
83,28,1,French 75,true
84,28,2,法国75,true
85,29,0,ブルームーン,true
86,29,1,blue Moon,true
87,29,2,蓝月亮,true
88,30,0,ブロンクス,true
89,30,1,Bronx,true
90,30,2,布朗克斯,true
91,31,0,プリンセスメアリー,true
92,31,1,Princess Mary,true
93,31,2,玛丽公主,true
94,32,0,ミリオンダラー,true
95,32,1,Million dollar,true
96,32,2,百万美元,true
97,33,0,ルシアン,true
98,33,1,Lucian,true
99,33,2,卢西恩,true
100,34,0,ロングアイランドアイスティー,true
101,34,1,Long Island Ice Tea,true
102,34,2,长岛冰茶,true
103,35,0,エルドール,true
104,35,1,Eldor,true
105,35,2,Erudoru,true
106,36,0,セレブリティーニ,true
107,36,1,Celebration,true
108,36,2,名人2,true
109,37,0,ソルティドッグ,true
110,37,1,Salty Dog,true
111,37,2,咸狗,true
112,38,0,モスコーミュール,true
113,38,1,Moscowur,true
114,38,2,莫斯科骡子,true
115,39,0,ウォッカトニック,true
116,39,1,Vodka Tonic,true
117,39,2,伏特加滋补品,true
118,40,0,ウォッカマティーニ,true
119,40,1,Vodka Martini,true
120,40,2,伏特加马丁尼,true
121,41,0,ウォッカリッキー,true
122,41,1,Vodka Rickey,true
123,41,2,伏特加Rickey,true
124,42,0,オーロラ,true
125,42,1,Aurora,true
126,42,2,极光,true
127,43,0,カイピロスカ,true
128,43,1,Kaipirosca,true
129,43,2,Kaipirosuka,true
130,44,0,カミカゼ,true
131,44,1,Kamikaze,true
132,44,2,神风,true
133,45,0,キッスオブファイヤー,true
134,45,1,Kids of Fire,true
135,45,2,孩子们的火,true
136,46,0,コスモポリタン,true
137,46,1,cosmopolitan,true
138,46,2,丽都,true
139,47,0,ゴッドマザー,true
140,47,1,God Mother,true
141,47,2,上帝之母,true
142,48,0,シーブリーズ,true
143,48,1,Sea Breeze,true
144,48,2,海风,true
145,49,0,スクリュードライバー,true
146,49,1,screwdriver,true
147,49,2,螺丝刀,true
148,50,0,チチ,true
149,50,1,Chiti,true
150,50,2,集集,true
151,51,0,チョコティーニ,true
152,51,1,Chocotini,true
153,51,2,巧克力蒂尼,true
154,52,0,トロイカ,true
155,52,1,Troika,true
156,52,2,三驾马车,true
157,53,0,バラライカ,true
158,53,1,Balalaika,true
159,53,2,巴拉莱卡,true
160,54,0,ビッグアップル,true
161,54,1,Big Apple,true
162,54,2,大苹果,true
163,55,0,ブラックルシアン,true
164,55,1,Black Lucien,true
165,55,2,黑色吕西安,true
166,56,0,ブラッディブル,true
167,56,1,Bloody bull,true
168,56,2,血腥的公牛,true
169,57,0,ブラッディメアリー,true
170,57,1,Bloody Mary,true
171,57,2,血腥的玛丽,true
172,58,0,ブルーラグーン,true
173,58,1,Blue Lagoon,true
174,58,2,蓝色泻湖,true
175,59,0,ブルショット,true
176,59,1,Bull shot,true
177,59,2,公牛出手,true
178,60,0,ホワイトルシアン,true
179,60,1,White Lucian,true
180,60,2,白卢西恩,true
181,61,0,ミドリマティーニ,true
182,61,1,Midoritomini,true
183,61,2,格林尼,true
184,62,0,メロンボール,true
185,62,1,Melon ball,true
186,62,2,甜瓜球,true
187,63,0,モーツァルトチョコレートマティーニ,true
188,63,1,Mozart chocolate martini,true
189,63,2,莫扎特巧克力马提尼,true
190,64,0,雪国,true
191,64,1,Snow country,true
192,64,2,雪国,true
193,65,0,吉野,true
194,65,1,Yoshino,true
195,65,2,吉野,true
196,66,0,ルシアン,true
197,66,1,Lucian,true
198,66,2,卢西恩,true
199,67,0,ルジェアップルティーニ,true
200,67,1,Rouge apple Tini,true
201,67,2,胭脂苹果蒂尼,true
202,68,0,レッドバード,true
203,68,1,Red bird,true
204,68,2,红鸟,true
205,69,0,ロングアイランドアイスティー,true
206,69,1,Long Island Ice Tea,true
207,69,2,长岛冰茶,true
208,70,0,マルガリータ,true
209,70,1,Margarita,true
210,70,2,玛格丽塔,true
