"drink_id","language","priority","drink_name","alcoholic","cocktail_or_not","category","base","place","company","cocktailType","glass","taste","color","alcohol_percentage","method_category","method_detail","image","ingredient1","ingredient2","ingredient3","ingredient4","ingredient5","ingredient6","ingredient7","ingredient8","ingredient9","ingredient10","measure1","measure2","measure3","measure4","measure5","measure6","measure7","measure8","measure9","measure10","source","reference_url","date_modified"
"11","en","True","Orange Blossom","Alcohol","True","Cocktail","gin","","","long","tumbler","Medium sweet mouth","Orange","usually","Build","Pour into the tumbler with ice and gently stir. Decorate oranges.","https://www.suntory.co.jp/wnb/img/cocktail/p_orange_blossom.gif","Bee Fighter Jin","Orange juice","","","","","","","","","45 ml","Reasonable amount","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/orange_blossom/index.html","2018-10-11 15:06:00"
"21","en","True","Gimlet","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Transparent","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_gimlet.gif","Bee Fighter Jin","Suntory Cocktail Lime","","","","","","","","","3/4 amount","1/4 amount","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gimlet/index.html","2018-10-11 15:06:00"
"31","en","True","Singapore · Sling","Alcohol","True","Cocktail","gin","","","long","tumbler","Medium sweet mouth","Red","usually","shake","Shake materials other than soda and pour into umbrella tumbler. Fill it with soda and lightly steer. I decorate apple, lemon, red cherry.","https://www.suntory.co.jp/wnb/img/cocktail/p_singapore_sling.gif","Bee Fighter Jin","Healing cherry","Fresh lemon juice","sugar","soda","","","","","","45 ml","15 ml","20 ml","1 and 1 / 2tsp","Reasonable amount","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/singapore_sling/index.html","2018-10-11 15:06:00"
"41","en","True","Jin tonic","Alcohol","True","Cocktail","gin","","","long","tumbler","Medium sweet mouth","Transparent","usually","Build","Pour into the tumbler with ice and gently stir. Decorate lime or lemon.","https://www.suntory.co.jp/wnb/img/cocktail/p_gin_tonic.gif","Bee Fighter Jin","Tonic Water","","","","","","","","","1/4","3/4","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gin_tonic/index.html","2018-10-11 15:06:00"
"51","en","True","Triple · Citrus · Gin tonic","Alcohol","True","Cocktail","gin","","","long","Collins grass","spicy","Transparent","usually","Build","Pour into the tumbler with ice and gently stir. Lime, lemon, and ornamen.","https://www.suntory.co.jp/wnb/img/cocktail/p_triple_citrus_g_t.gif","Beefeater 24","Tonic Water","","","","","","","","","30 ml","90 ml","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/triple_citrus_g_t/index.html","2018-10-11 15:06:00"
"61","en","True","White Lady","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","White","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_white_lady.gif","Bee Fighter Jin","White Curacao (Triple Sek)","Fresh lemon juice","","","","","","","","1/2","1/4","1/4","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/white_lady/index.html","2018-10-11 15:06:00"
"71","en","True","Martini","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","spicy","Transparent","Strong (more than 25 degrees)","Steer","Steer and pour into a cocktail glass. Decorate olives.","https://www.suntory.co.jp/wnb/img/cocktail/p_martini.gif","Bee Fighter Jin","Dry vermouth","","","","","","","","","4/5","1/5","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/martini/index.html","2018-10-11 15:06:00"
"81","en","True","Mistya Martini","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","Medium spicy","Transparent","Strong (more than 25 degrees)","Steer","Steer and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_mistia_martini.gif","Muscat liqueur de France Mistya","Bee Fighter Jin","","","","","","","","","15 ml","45 ml","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/mistia_martini/index.html","2018-10-11 15:06:00"
"91","en","True","Around the World","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Green","usually","shake","Shake and pour into a cocktail glass. Decorate green cherries.","https://www.suntory.co.jp/wnb/img/cocktail/p_around_the_world.gif","Bee Fighter Jin","Mint liqueur (green)","Pineapple juice","","","","","","","","2/3","1/6","1/6","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/around_the_world/index.html","2018-10-11 15:06:00"
"101","en","True","Autumn-Reeves","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Brown (amber)","usually","Steer","Steer and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_autumn_leaves.gif","Bee Fighter Jin","Stones Ginger","Fresh lime juice","","","","","","","","45 ml","20 ml","10 ml","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/autumn_leaves/index.html","2018-10-11 15:06:00"
"111","en","True","Kiss In The Dark","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Red","usually","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_kiss_in_the_dark.gif","Healing cherry","Bee Fighter Jin","Dry vermouth","","","","","","","","1/3","1/3","1/3","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/kiss_in_the_dark/index.html","2018-10-11 15:06:00"
"121","en","True","Gibson","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","spicy","Transparent","Strong (more than 25 degrees)","Steer","Steer and pour into a cocktail glass. Submerge the cocktail pinned pearl onion in a glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_gibson.gif","Bee Fighter Jin","Dry vermouth","Pearl onion","","","","","","","","5/6","1/6","1 piece","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gibson/index.html","2018-10-11 15:06:00"
"131","en","True","Silver Streak","Alcohol","True","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Brown (amber)","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_silver_streak.gif","Bee Fighter Jin","Jaeger Meister","","","","","","","","","2/3","1/3","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/silver_streak/index.html","2018-10-11 15:06:00"
