object_id,drink_id,language,priority,drink_name,alcoholic,cocktail_or_not,category,base,place,company,cocktailType,glass,taste,color,alcohol_percentage,method_category,method_detail,description,image,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,source,reference_url,date_modified
11,11,ja,TRUE,オレンジブロッサム,Alcohol,TRUE,カクテル,ジン,,,ロング,タンブラー,中甘辛口,オレンジ,普通,ビルド,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。オレンジを飾る。,「ジン・オレンジ」とも呼ばれ、文字通りのオレンジジュースのフルーティーなおいしさと、ジンのさわやかな香りがぴったりマッチしたカクテル。二つの材料をグラスに注ぐだけで出来上がるので、家庭でも簡単につくることのできる、シンプルでおいしいカクテル。,https://www.suntory.co.jp/wnb/img/cocktail/p_orange_blossom.gif,ジン,オレンジジュース,,,,,,,,,45ml,適量,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/orange_blossom/index.html,2018/10/11 15:06
21,21,ja,TRUE,ギムレット,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,透明,強い（25度以上）,シェーク,シェークして、カクテル・グラスに注ぐ。,レイモンド・チャンドラーの小説『長いお別れ』に登場し、「ギムレットには早すぎる」という名セリフで一躍有名になったカクテル。このカクテルが生まれたのは19世紀後半。当時のイギリス海軍では、将校にはジン、船員にはラムの水割りを毎日配給していた。海軍の軍医、ギムレット卿は、健康のためにジンをライムジュースで薄めて飲むように提唱。これがギムレットの始まりとなった。従って、ギムレットの発祥地はインド洋上の軍艦の上、と考えるのが妥当である。生のライムジュースを使うか、既製品のライムジュースを使うか、意見は分かれる。フレッシュライムジュースを使用する場合は甘みにシロップを加える場合もある。,https://www.suntory.co.jp/wnb/img/cocktail/p_gimlet.gif,ジン,サントリーカクテルライム,,,,,,,,,3/4量,1/4量,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gimlet/index.html,2018/10/11 15:06
31,31,ja,TRUE,シンガポールスリング,Alcohol,TRUE,カクテル,ジン,,,ロング,タンブラー,中甘辛口,赤,普通,シェーク,ソーダ以外の材料をシェークし、氷を入れたタンブラーに注ぐ。ソーダで満たし、軽くステアする。リンゴ、レモン、レッド・チェリーを飾る。,イギリスの小説家サマセット・モームが“東洋の神秘”とたたえた、世界一美しいと言われるシンガポールの夕焼けを表現したカクテル。1915年、シンガポールのラッフルズホテルで考案された。トロピカルカクテルの傑作といわれている。,https://www.suntory.co.jp/wnb/img/cocktail/p_singapore_sling.gif,ジン,ヒーリングチェリー,フレッシュレモンジュース,砂糖,ソーダ,,,,,,45ml,15ml,20ml,1と1/2tsp,適量,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/singapore_sling/index.html,2018/10/11 15:06
41,41,ja,TRUE,ジントニック,Alcohol,TRUE,カクテル,ジン,,,ロング,タンブラー,中甘辛口,透明,普通,ビルド,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライムまたはレモンを飾る。,ジンをベースにしたカクテルの中で、最もポピュラーなのがこのジントニック。熱帯にあるイギリスの植民地で、健康飲料として飲まれていたトニックウォーターに、ジンを入れてみたら驚くほど飲み口がよかったというのが始まり。今では世界的に人気のあるジントニック。シンプルなレシピだけに、味わいはバーによって、またバーテンダーによって微妙に異なる。ジンやトニックの銘柄は？デコレーションにはライムかレモンか？こだわればこだわるほど奥の深いカクテルである。,https://www.suntory.co.jp/wnb/img/cocktail/p_gin_tonic.gif,ジン,トニックウォーター,,,,,,,,,1/4,3/4,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gin_tonic/index.html,2018/10/11 15:06
51,51,ja,TRUE,トリプルシトラスジントニック,Alcohol,TRUE,カクテル,ジン,,,ロング,コリンズグラス,辛口,透明,普通,ビルド,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライム、レモン、及びオレンジを飾る。,プレミアムジン「ビーフィーター２４」に使用されているボタニカルのうち、レモン・ライム・オレンジのスライスを用いたオリジナル ジン・トニック。見た目も爽やかなプレミアムなカクテル。,https://www.suntory.co.jp/wnb/img/cocktail/p_triple_citrus_g_t.gif,ビーフィーター24,トニックウォーター,,,,,,,,,30ml,90ml,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/triple_citrus_g_t/index.html,2018/10/11 15:06
61,61,ja,TRUE,ホワイトレディ,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,白,強い（25度以上）,シェーク,シェークして、カクテル・グラスに注ぐ。,1919年に、当時ヨーロッパで一番ファッショナブルなナイトスポットと呼ばれていたロンドンの”シローズ・クラブ”で、名バーテンダー、ハリー・マッケンホルン氏が考案したカクテル。もともとはドライジンではなく、ペパーミントリキュールがベースであった。ハリーがパリに移ったあと、ベースをドライジンにかえ、このカクテルが広く愛飲されるようになった。アルコール、甘み、酸味のバランスがとれた、すばらしいカクテルである。ドライジンをブランデーにかえると「サイドカー」、ウオッカにかえると「バラライカ」、ラムにかえると「Ｘ.Ｙ.Ｚ」になる。,https://www.suntory.co.jp/wnb/img/cocktail/p_white_lady.gif,ジン,ホワイトキュラソー（トリプルセック）,フレッシュレモンジュース,,,,,,,,1/2,1/4,1/4,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/white_lady/index.html,2018/10/11 15:06
71,71,ja,TRUE,マティーニ,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,辛口,透明,強い（25度以上）,ステア,ステアして、カクテル・グラスに注ぐ。オリーブを飾る。,"マティーニほど数々の逸話に彩られたカクテルはほかにない。「カクテルの中の傑作」「カクテルの帝王」と称されるカクテル。映画『７年目の浮気』ではマリリン・モンローが、『００７』ではジェームス・ボンドが好んで飲んだカクテルである。
レシピは時代と共に甘口から辛口へと変化し、スイートベルモットを使っていたのが、今ではドライベルモットを使うのが普通になっている。超辛口好みの、かのチャーチルは、ドライベルモットの瓶を眺めながらジンのストレートを飲んでいたそうである。
デコレーションのオリーブは、一般的に辛口カクテルのデコレーションとして使われる。甘口のカクテルにはチェリーを使う。オリーブの半径分の長さに切り込みを入れ、グラスのふちに刺すと出来上がり。その他にもカクテルピンにオリーブを指してグラスにさしわたしてもよい。",https://www.suntory.co.jp/wnb/img/cocktail/p_martini.gif,ジン,ドライベルモット,,,,,,,,,4/5,1/5,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/martini/index.html,2018/10/11 15:06
81,81,ja,TRUE,ミスティアマティーニ,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中辛,透明,強い（25度以上）,ステア,ステアして、カクテル・グラスに注ぐ。,マスカットのフルーティでみずみずしい味わいが楽しめる、ソフトな飲み口のショートカクテルです。,https://www.suntory.co.jp/wnb/img/cocktail/p_mistia_martini.gif,マスカット　リキュール　ド　フランス　ミスティア,ジン,,,,,,,,,15ml,45ml,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/mistia_martini/index.html,2018/10/11 15:06
91,91,ja,TRUE,アラウンドザワールド,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,緑,普通,シェーク,シェークして、カクテル・グラスに注ぐ。グリーン・チェリーを飾る。,「アラウンド・ザ・ワールド」とは、世界一周という意味。アメリカのバーテンダーの作といわれている。パイナップルの味がひときわきいたカクテル。ミントとパイナップルジュースのドライジンに対する比率をどうするかで、いくつかのレシピがある。,https://www.suntory.co.jp/wnb/img/cocktail/p_around_the_world.gif,ジン,ミントリキュール（グリーン）,パイナップルジュース,,,,,,,,2/3,1/6,1/6,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/around_the_world/index.html,2018/10/11 15:06
101,101,ja,TRUE,オータムリーブス,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,ブラウン(琥珀色）,普通,ステア,ステアして、カクテル・グラスに注ぐ。,1984年のサントリー・カクテル・コンペティションでグランプリに輝いたカクテル。仙台の大庄司雅彦氏の作品である。黄金色のグラデーションがカクテルの名にふさわしく、グラスの中に北国の秋が見事に表現されている。,https://www.suntory.co.jp/wnb/img/cocktail/p_autumn_leaves.gif,ジン,ストーンズジンジャー,フレッシュライムジュース,,,,,,,,45ml,20ml,10ml,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/autumn_leaves/index.html,2018/10/11 15:06
